,0
0,178.9613559037447
1,181.20400892078877
2,182.86655803620815
3,182.49399002999067
4,187.69248395636677
5,189.96921130865812
6,192.92895638346673
7,196.32694887638092
8,200.37374330639838
9,198.42033454298974
10,196.68116821616889
11,197.63963868744673
12,201.7491649851948
13,193.6530430725217
14,193.12697557508943
15,201.19509849309924
16,197.98390817165375
17,203.40970329344273
18,203.53779161296785
19,199.71561370387676
20,203.65924766488374
21,205.7648834835738
22,208.5290294855088
23,202.13058809895068
24,207.28676840364935
25,204.66563650891186
26,201.45454976677897
27,203.05938773229718
28,208.9325081857294
29,212.6959253463149
30,199.0771434509754
31,193.87399035967886
32,196.39741982124747
33,202.76803671866654
34,201.745230445005
35,198.21264173096046
36,188.5470337695442
37,186.96029277851804
38,181.9504343122244
39,186.70194521132856
40,189.01783049952238
41,181.75036878578365
42,173.26671326298265
43,173.25837531328202
44,169.02921952491624
45,171.4781284707412
46,171.25752106815577
47,177.99140222575517
48,176.76228689448908
49,175.36149622123094
