,0
0,328.66919524803757
1,323.7643546447158
2,322.8696954982728
3,321.27946476161475
4,324.00415530659257
5,328.7709867499768
6,338.811159138009
7,343.29248168125747
8,349.4257858075202
9,348.2106827877462
10,345.88680147454147
11,346.06314153827725
12,346.5546630084515
13,331.13372024819256
14,323.40115754440427
15,325.8962476211041
16,325.45199746251103
17,334.6167235840112
18,332.7614376284182
19,327.7762736152858
20,325.54804993078113
21,325.8639084340632
22,320.98046606704594
23,325.73347868584096
24,334.6416879563033
25,331.0110651181638
26,309.6547097277641
27,323.3340994112939
28,328.3663997974992
29,336.4182983943075
30,331.92370440624654
31,336.2753386563063
32,340.86606440991164
33,346.44183942899105
34,345.67796550393103
35,344.7319138237834
36,333.60566638894375
37,326.9248319784552
38,322.7757349520922
39,320.14535001292825
40,315.18293751254674
41,301.3841242910922
42,298.6142565529793
43,298.52190103694795
44,294.07160161972047
45,298.1253592516482
46,299.943424651958
47,314.7829025927931
48,323.5835673224926
49,322.1906244822219
