,0
0,117.49348985791205
1,118.70635639376938
2,119.28976093530656
3,117.81254134476185
4,118.21270302526652
5,117.9136368124187
6,119.81290201950819
7,119.99888059839606
8,120.38441670812666
9,119.86957193277776
10,120.0611606823653
11,119.41812199637295
12,121.1355445152521
13,116.9343714825809
14,112.79309628985823
15,112.00202097196131
16,111.05188246116042
17,111.4321034154296
18,111.06316581413151
19,111.07349137384445
20,111.54643795117735
21,110.50948462307453
22,106.7640448652208
23,103.61221453741192
24,104.75031882852316
25,104.55403689205647
26,101.9712468186021
27,103.62110483720897
28,104.22086941041053
29,103.62586135394871
30,106.79312598809601
31,110.55572678759694
32,110.36296216771007
33,112.03387790344657
34,110.47910195112229
35,110.46310458399356
36,108.35204496145248
37,106.32067765854299
38,106.5133447688818
39,107.49601916149258
40,109.28380478575826
41,109.462659111619
42,106.27261566594242
43,107.46995461910963
44,103.69828728437423
45,104.8140282407403
46,104.87992932856082
47,107.40030775398016
48,107.8984795693308
49,107.72450468868017
