,0
0,114.6730347454548
1,114.38575628399849
2,114.2296954035759
3,114.18944132924081
4,114.23288687467576
5,114.32841632366181
6,114.45158407688142
7,114.58616791963578
8,114.72291546463967
9,114.8573964893818
10,114.98813247084618
11,115.11514808535577
12,115.23907257914544
13,115.36059524416925
14,115.48027993440628
15,115.59851160049439
16,115.71545763015747
17,115.83116079568863
18,115.94557955861092
19,116.05864482522011
20,116.17030518651009
21,116.28051375746728
22,116.38918581604958
23,116.49634192585945
24,116.60195453166962
25,116.70604378581048
26,116.80858624577523
27,116.9095938384533
28,117.00908136963845
29,117.10706364512444
30,117.20355711579323
31,117.29858645796776
32,117.39217593669892
33,117.4843288421631
34,117.57507355213166
35,117.66441171169282
36,117.75237457752229
37,117.83896050453187
38,117.9242369413376
39,118.00820553302765
40,118.09085311889649
41,118.17220766544342
42,118.25230207443238
43,118.33113634586334
44,118.40875489711762
45,118.48515443801881
46,118.56036293506622
47,118.63436887264253
48,118.70719363689423
49,118.77884874343873
