,0
0,25352.260332215577
1,25169.419393088836
2,25128.764666568928
3,25071.315755929478
4,25172.114791970584
5,25235.747316939716
6,25460.580860295955
7,25613.11068858268
8,25695.853555070356
9,25530.47073779185
10,25382.07474574643
11,25443.35826311368
12,25411.478124215195
13,24632.443970351298
14,24126.861022608504
15,24422.83581192338
16,24355.478403773875
17,24902.639562510492
18,24832.180709311826
19,24533.394904692017
20,24612.923297766978
21,24506.306870023112
22,24399.90400149815
23,23825.64192800619
24,24228.77349419081
25,23955.191383284382
26,23730.1649837323
27,24162.13057935353
28,24408.836172150295
29,24678.5268416993
30,24583.334397541224
31,24780.347383082
32,24960.020181555155
33,25501.776407091333
34,25522.84439254466
35,25336.05039954721
36,24758.44898856565
37,24669.259924857975
38,24476.906350814737
39,24689.01404331981
40,24818.120027830704
41,24439.285064773452
42,23907.471585865303
43,23913.511877444693
44,23745.46712615581
45,24098.389584907465
46,24210.79873858153
47,24821.299829119605
48,24800.296705956596
49,24790.799637945216
