,0
0,177.31274674758313
1,173.0369104295969
2,172.5138209617138
3,172.70319178819656
4,172.27103557944298
5,172.54749621078372
6,172.80366500616074
7,170.20704074576497
8,169.08150885134935
9,164.72305851131676
10,162.38828225523233
11,163.80007873728871
12,161.3723957799375
13,159.4846205368638
14,156.05777516633273
15,158.1573153296113
16,156.96218583509324
17,158.826168243289
18,151.82610185936093
19,147.85741836369039
20,147.2887814708054
21,146.30713287740946
22,146.04935507118702
23,144.69839276298882
24,146.34136028543114
25,140.6815237918496
26,141.40446857213973
27,143.81634383678437
28,143.45336674273014
29,147.11827416479588
30,146.6158778385818
31,148.38633607372643
32,148.16871006041765
33,152.34499264419077
34,152.8979064822197
35,151.19001124188304
36,145.78658356502652
37,145.36619219183922
38,146.02523503303527
39,143.89203753948212
40,143.54488804608584
41,140.69313452079894
42,136.94466497227552
43,137.0778729081154
44,136.64384718909858
45,137.35848782926797
46,140.03653905183077
47,143.36555483430624
48,141.86113512516022
49,143.4088276107609
