,0
0,143.04195473182946
1,140.48772924779914
2,138.5330102615617
3,137.90734681424684
4,137.78347999099176
5,137.51559641847385
6,138.7861861987086
7,139.32023080915212
8,137.63837737471798
9,137.72262255437673
10,137.2586688535288
11,137.34337754856793
12,136.9697543889284
13,135.35164703836662
14,131.37253501728176
15,131.25449379056693
16,131.1928198199719
17,133.6127514025569
18,136.31675456680358
19,136.22765079606324
20,135.6652235945687
21,135.18607199423016
22,135.31565758243204
23,133.78472815807908
24,134.65206951169296
25,133.09238121822477
26,133.5579925423488
27,136.5683384197764
28,135.7379364600964
29,136.45236549194902
30,136.22950783357024
31,137.616247587651
32,137.89180205553768
33,139.91929247695953
34,140.37236998565496
35,140.33503568038344
36,140.53180330172182
37,139.55396345719697
38,139.07106112875044
39,139.24609583243728
40,140.61745203964412
41,142.23032855864614
42,140.93749082554132
43,136.58863679129632
44,136.7645581331849
45,135.88480539318175
46,137.61126228488982
47,140.6539695009589
48,140.03793994076548
49,139.61586133740843
