,0
0,189.32064937502147
1,187.08565677970648
2,190.57901543453335
3,189.71478545188901
4,190.4489417847991
5,191.16587541401384
6,190.31178097486494
7,188.4749684339762
8,187.75442579060794
9,188.93176201581957
10,189.68924751654268
11,190.93640673786402
12,193.1603046602011
13,191.37997269093992
14,185.12565721556544
15,185.97398966133593
16,185.68649236291645
17,186.02292782753705
18,188.9651988503337
19,188.89198611468078
20,189.5435951779783
21,188.45327307343481
22,200.22738141193986
23,200.3304670214653
24,197.90535981699824
25,195.56296194791796
26,195.321370305866
27,201.13202727764846
28,199.22219766229392
29,196.83138422966002
30,198.8198668807745
31,202.7966854302585
32,205.2865780840814
33,206.8984985332936
34,208.1614606758952
35,208.56011412218214
36,206.68343758784235
37,206.16532161235807
38,205.87251122258604
39,205.43530520766973
40,209.83151342086495
41,208.74572603702546
42,205.27067979104817
43,204.05595696687698
44,203.0665086066723
45,205.1466874577105
46,205.86513418212533
47,209.34732195846735
48,210.8105727189779
49,208.66592152491214
