,0
0,203.5997786109522
1,200.75520382404326
2,197.95481832712886
3,198.31457252983003
4,197.39652602586895
5,197.9522770776227
6,199.33225877813996
7,202.6218779506907
8,202.6450269475579
9,200.81271980971098
10,200.16959426183254
11,201.2422418003902
12,197.49814727045595
13,189.70081783719363
14,184.5800781492144
15,185.95263600286094
16,186.5838841585815
17,189.7282387821004
18,190.25603588275612
19,187.8312849345803
20,187.30098541155456
21,188.68288621723653
22,180.39618373401464
23,172.86221644297243
24,173.2545578338206
25,173.18844568021595
26,173.94678886391222
27,177.68220563292505
28,178.07560827210546
29,179.88248800978064
30,180.40745990775525
31,180.79247831180692
32,182.68385169357063
33,188.26014966353773
34,190.8336257598549
35,188.0305741429329
36,184.20974533081053
37,185.4287632713467
38,185.11508423879744
39,191.49314483985304
40,195.29106678813696
41,192.07197830393912
42,187.31273783907292
43,185.59074402473865
44,183.80417954921722
45,186.641041495353
46,187.39539470791817
47,190.78281935766339
48,190.96782019257546
49,193.04808234378694
