,0
0,2717.498357065873
1,2714.667298965783
2,2714.960729297622
3,2717.3120136348743
4,2720.7632415324947
5,2724.6549314301283
6,2728.6149639870628
7,2732.4788235140127
8,2736.205124612692
9,2739.8109584048607
10,2743.3325371140195
11,2746.803704653694
12,2750.248100468158
13,2753.678100886963
14,2757.097394798458
15,2760.504192327823
16,2763.8931784199503
17,2767.257499163943
18,2770.591217414055
19,2773.888636129699
20,2777.1457390064006
21,2780.359230055161
22,2783.5264135498787
23,2786.6455650989583
24,2789.715484176606
25,2792.7357887973412
26,2795.705354832466
27,2798.624651578428
28,2801.4934825855503
29,2804.31179328448
30,2807.0801621103715
31,2809.798981962576
32,2812.469005898183
33,2815.0905176778338
34,2817.6641175644263
35,2820.1903185098904
36,2822.6701791596993
37,2825.104518054167
38,2827.494099164254
39,2829.839249906085
40,2832.140930700296
41,2834.399589015592
42,2836.6161307032544
43,2838.791592581014
44,2840.926613110316
45,2843.0215742766404
46,2845.0773219049784
47,2847.0942325238752
48,2849.073326580255
49,2851.015018801211
